location.latitude,location.longitude,name,power,type,stalls,country
43.35562,-4.09492,"Tesla Supercharger Reocín, Spain",150,SITE_TYPE_SUPERCHARGER,8,Spain
51.959482,6.021093,"Tesla Supercharger Duiven, Netherlands",250,SITE_TYPE_SUPERCHARGER,24,Netherlands
52.98524,7.248106,"Tesla Supercharger Heede, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
47.40795,8.598191,"Tesla Supercharger Wallisellen, Glattzentrum, Switzerland",250,SITE_TYPE_SUPERCHARGER,20,Switzerland
52.99296,-2.290314,"Tesla Supercharger Keele, UK - Northbound",130,SITE_TYPE_SUPERCHARGER,8,UK
45.593132,5.898176,"Tesla Supercharger Chambéry, France",125,SITE_TYPE_SUPERCHARGER,4,France
45.525434,5.974838,"Tesla Supercharger Aire du Granier, France",250,SITE_TYPE_SUPERCHARGER,12,France
47.61187586,1.33932151,"Tesla Supercharger Blois, France",250,SITE_TYPE_SUPERCHARGER,16,France
51.43855,-0.968785,"Tesla Supercharger Reading, UK - Katesgrove",250,SITE_TYPE_SUPERCHARGER,12,UK
54.477799,9.544758,"Tesla Supercharger Busdorf, Germany",250,SITE_TYPE_SUPERCHARGER,28,Germany
47.372431,10.886093,"Tesla Supercharger Biberwier, Austria",150,SITE_TYPE_SUPERCHARGER,6,Austria
58.327607,13.132291,"Tesla Supercharger Jung, Sweden",150,SITE_TYPE_SUPERCHARGER,6,Sweden
59.365814,13.145283,"Tesla Supercharger Grums, Sweden",150,SITE_TYPE_SUPERCHARGER,24,Sweden
52.278996,9.35084,"Tesla Supercharger Lauenau, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
45.584722,12.287137,"Tesla Supercharger Mogliano Veneto, Italy",250,SITE_TYPE_SUPERCHARGER,16,Italy
51.135188,-0.19124,"Tesla Supercharger London, UK - Gatwick",250,SITE_TYPE_SUPERCHARGER,8,UK
51.899517,4.982968,"Tesla Supercharger Meerkerk, Netherlands",250,SITE_TYPE_SUPERCHARGER,24,Netherlands
46.573233,-1.11793,"Tesla Supercharger Aire de la Vendée, France",250,SITE_TYPE_SUPERCHARGER,9,France
51.249417,-0.559877,"Tesla Supercharger Guildford, UK",250,SITE_TYPE_SUPERCHARGER,12,UK
43.980528,4.879874,"Tesla Supercharger Avignon, France - Le Pontet",250,SITE_TYPE_SUPERCHARGER,28,France
46.496797,9.84272,"Tesla Supercharger St. Moritz, Switzerland",125,SITE_TYPE_SUPERCHARGER,4,Switzerland
54.092966,13.085854,"Tesla Supercharger Süderholz, Germany",150,SITE_TYPE_SUPERCHARGER,4,Germany
47.271211,8.439433,"Tesla Supercharger Affoltern, Switzerland ",250,SITE_TYPE_SUPERCHARGER,12,Switzerland
51.88071,0.788574,"Tesla Supercharger Colchester, UK",150,SITE_TYPE_SUPERCHARGER,12,UK
48.925026,1.996508,"Tesla Supercharger Orgeval, France",125,SITE_TYPE_SUPERCHARGER,4,France
52.168184,0.109099,"Tesla Supercharger Trumpington, UK",250,SITE_TYPE_SUPERCHARGER,12,UK
59.31478,14.147392,"Tesla Supercharger Kristinehamn, Sweden",250,SITE_TYPE_SUPERCHARGER,20,Sweden
51.750141,0.511223,"Tesla Supercharger Chelmsford, UK",250,SITE_TYPE_SUPERCHARGER,8,UK
50.921483,4.032789,"Tesla Supercharger Aalst, Belgium",250,SITE_TYPE_SUPERCHARGER,12,Belgium
43.511938,5.466433,"Tesla Supercharger Aix-en-Provence, France - Val de l'Arc",250,SITE_TYPE_SUPERCHARGER,12,France
50.989354,5.7815065,"Tesla Supercharger Urmond, Netherlands",150,SITE_TYPE_SUPERCHARGER,20,Netherlands
52.144022,5.416976,"Tesla Supercharger Leusden, Netherlands",250,SITE_TYPE_SUPERCHARGER,12,Netherlands
49.924001,7.825672,"Tesla Supercharger Waldlaubersheim, Germany",150,SITE_TYPE_SUPERCHARGER,8,Germany
45.952704,6.628651,"Tesla Supercharger Sallanches, France",250,SITE_TYPE_SUPERCHARGER,12,France
50.33102,6.945609,"Tesla Supercharger Nürburgring, Germany",250,SITE_TYPE_SUPERCHARGER,4,Germany
50.227558,-5.280032,"Tesla Supercharger Camborne, UK",250,SITE_TYPE_SUPERCHARGER,8,UK
50.592323,5.848511,"Tesla Supercharger Verviers, Belgium",250,SITE_TYPE_SUPERCHARGER,12,Belgium
48.281256,7.777663,"Tesla Supercharger Kappel-Grafenhausen, Germany",150,SITE_TYPE_SUPERCHARGER,10,Germany
46.971073,8.459073,"Tesla Supercharger Beckenried, Switzerland",125,SITE_TYPE_SUPERCHARGER,6,Switzerland
46.889368,-1.032994,"Tesla Supercharger Les Herbiers, France",250,SITE_TYPE_SUPERCHARGER,8,France
58.827859,7.795555,"Tesla Supercharger Bygland, Norway",150,SITE_TYPE_SUPERCHARGER,8,Norway
52.727405,5.764609,"Tesla Supercharger Emmeloord, Netherlands",150,SITE_TYPE_SUPERCHARGER,10,Netherlands
47.04312,4.841182,"Tesla Supercharger Beaune Nord, France",250,SITE_TYPE_SUPERCHARGER,28,France
39.542965,-0.451521,"Tesla Supercharger Valencia, Spain",250,SITE_TYPE_SUPERCHARGER,8,Spain
49.593988,8.632471,"Tesla Supercharger Hemsbach, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
51.729669,-1.249257,"Tesla Supercharger Oxford, UK - Redbridge",250,SITE_TYPE_SUPERCHARGER,12,UK
47.524877,7.680341,"Tesla Supercharger Pratteln, Switzerland",150,SITE_TYPE_SUPERCHARGER,18,Switzerland
45.820338,4.760218,"Tesla Supercharger Dardilly, France",250,SITE_TYPE_SUPERCHARGER,16,France
48.826752,2.118612,"Tesla Supercharger Parly 2, France",250,SITE_TYPE_SUPERCHARGER,12,France
46.6018,13.883084,"Tesla Supercharger Villach-Ost, Austria",200,SITE_TYPE_SUPERCHARGER,6,Austria
50.355556,9.753977,"Tesla Supercharger Motten, Germany",150,SITE_TYPE_SUPERCHARGER,16,Germany
50.805634,3.27446,"Tesla Supercharger Kortrijk, Belgium",150,SITE_TYPE_SUPERCHARGER,12,Belgium
47.354676,13.385812,"Tesla Supercharger Flachau, Austria",125,SITE_TYPE_SUPERCHARGER,18,Austria
55.434016,13.839907,"Tesla Supercharger Ystad, Sweden",250,SITE_TYPE_SUPERCHARGER,16,Sweden
53.879285,11.454002,"Tesla Supercharger Wismar, Germany",250,SITE_TYPE_SUPERCHARGER,12,Germany
51.16725,-1.328024,"Tesla Supercharger Winchester, UK - Norton Park",130,SITE_TYPE_SUPERCHARGER,2,UK
47.459205,12.385998,"Tesla Supercharger Kitzbühel, Austria",150,SITE_TYPE_SUPERCHARGER,3,Austria
53.430272,-2.179346,"Tesla Supercharger Manchester, UK - South",250,SITE_TYPE_SUPERCHARGER,8,UK
52.235476,5.230129,"Tesla Supercharger Eemnes, Netherlands",250,SITE_TYPE_SUPERCHARGER,24,Netherlands
